station1,station2,distance,line
後楽園,東大前,1.3,南北線
東大前,本駒込,0.9,南北線
本駒込,駒込,1.4,南北線
駒込,西ケ原,1.4,南北線
西ケ原,王子,1.0,南北線
王子,王子神谷,1.2,南北線
王子神谷,志茂,1.6,南北線
志茂,赤羽岩淵,1.1,南北線
小竹向原,千川,1.0,副都心線
千川,要町,1.0,副都心線
要町,池袋,1.2,副都心線
池袋,雑司が谷,1.8,副都心線
雑司が谷,西早稲田,1.5,副都心線
西早稲田,東新宿,0.9,副都心線
東新宿,新宿三丁目,1.1,副都心線
新宿三丁目,北参道,1.4,副都心線
北参道,明治神宮前〈原宿〉,1.2,副都心線
明治神宮前〈原宿〉,渋谷,1.0,副都心線
赤坂見附,永田町,0.0,同一駅
溜池山王,国会議事堂前,0.0,同一駅
虎ノ門,虎ノ門ヒルズ,0.0,同一駅
銀座,銀座一丁目,0.0,同一駅
上野広小路,仲御徒町,0.0,同一駅
淡路町,新御茶ノ水,0.0,同一駅
日比谷,有楽町,0.0,同一駅
築地,新富町,0.0,同一駅
人形町,水天宮前,0.0,同一駅
