station1,station1_kana,station2,station2_kana,distance,line
綾瀬,あやせ,北千住,きたせんじゅ,2.5,千代田線
北千住,きたせんじゅ,町屋,まちや,2.6,千代田線
町屋,まちや,西日暮里,にしにっぽり,1.7,千代田線
西日暮里,にしにっぽり,千駄木,せんだぎ,0.9,千代田線
千駄木,せんだぎ,根津,ねづ,1.0,千代田線
根津,ねづ,湯島,ゆしま,1.2,千代田線
湯島,ゆしま,新御茶ノ水,しんおちゃのみず,1.2,千代田線
新御茶ノ水,しんおちゃのみず,大手町,おおてまち,1.3,千代田線
大手町,おおてまち,二重橋前〈丸の内〉,にじゅうばしまえ（まるのうち）,0.7,千代田線
二重橋前〈丸の内〉,にじゅうばしまえ（まるのうち）,日比谷,ひびや,0.7,千代田線
日比谷,ひびや,霞ケ関,かすみがせき,1.2,千代田線
霞ケ関,かすみがせき,国会議事堂前,こっかいぎじどうまえ,0.7,千代田線
国会議事堂前,こっかいぎじどうまえ,赤坂,あかさか,0.8,千代田線
赤坂,あかさか,乃木坂,のぎざか,1.1,千代田線
乃木坂,のぎざか,表参道,おもてさんどう,1.4,千代田線
表参道,おもてさんどう,明治神宮前〈原宿〉,めいじじんぐうまえ（はらじゅく）,0.9,千代田線
明治神宮前〈原宿〉,めいじじんぐうまえ（はらじゅく）,代々木公園,よよぎこうえん,1.2,千代田線
代々木公園,よよぎこうえん,代々木上原,よよぎうえはら,1.0,千代田線
和光市,わこうし,地下鉄成増,ちかてつなります,2.2,有楽町線
地下鉄成増,ちかてつなります,地下鉄赤塚,ちかてつあかつか,1.4,有楽町線
地下鉄赤塚,ちかてつあかつか,平和台,へいわだい,1.8,有楽町線
平和台,へいわだい,氷川台,ひかわだい,1.4,有楽町線
氷川台,ひかわだい,小竹向原,こたけむかいはら,1.5,有楽町線
小竹向原,こたけむかいはら,千川,せんかわ,1.0,有楽町線
千川,せんかわ,要町,かなめちょう,1.0,有楽町線
要町,かなめちょう,池袋,いけぶくろ,1.2,有楽町線
池袋,いけぶくろ,東池袋,ひがしいけぶくろ,0.9,有楽町線
東池袋,ひがしいけぶくろ,護国寺,ごこくじ,1.1,有楽町線
護国寺,ごこくじ,江戸川橋,えどがわばし,1.3,有楽町線
江戸川橋,えどがわばし,飯田橋,いいだばし,1.6,有楽町線
飯田橋,いいだばし,市ケ谷,いちがや,1.1,有楽町線
市ケ谷,いちがや,麹町,こうじまち,0.9,有楽町線
麹町,こうじまち,永田町,ながたちょう,0.9,有楽町線
永田町,ながたちょう,桜田門,さくらだもん,0.9,有楽町線
